date,close,high,low,open,volume,tic,day
2019-02-07,260.49334716796875,266.475454745372,259.76825495394803,262.30610536351554,19733315,SBIN.NS,3
2019-02-07,1712.411865234375,1724.7849428636162,1699.340098608015,1705.7115963168744,1339945,TCS.NS,3
2019-02-08,274.9397888183594,275.77358146394096,268.66421748836194,271.209551202074,3413931,BHARTIARTL.NS,4
2019-02-08,490.30712890625,495.45817755695515,486.6113173389077,487.8471268891815,12235644,HDFCBANK.NS,4
2019-02-08,1605.6275634765625,1631.8681725967908,1600.0613213712984,1624.888314229684,1222765,HINDUNILVR.NS,4
2019-02-08,342.6112976074219,345.79522630470296,338.4142792742506,344.34798063425,9308651,ICICIBANK.NS,4
2019-02-08,623.2089233398438,632.5050277397517,618.2946725577932,622.4717657263985,5915169,INFY.NS,4
2019-02-08,191.4980010986328,195.4600288594976,190.87242936244408,194.2783664328623,4575570,ITC.NS,4
2019-02-08,1122.70849609375,1155.7646863372674,1117.1917630990756,1152.294434270978,2993525,LT.NS,4
2019-02-08,565.5576782226562,575.6498162527372,563.145285109626,568.7003724990501,14230054,RELIANCE.NS,4
2019-02-08,259.2244567871094,261.0372152261801,255.78022681707452,258.86191063139495,19781908,SBIN.NS,4
2019-02-08,1694.73583984375,1717.837734118127,1686.1857825682118,1705.9168692486785,1684474,TCS.NS,4
2019-02-11,274.01824951171875,276.8707689043808,272.96500472367387,276.4757909638882,3303611,BHARTIARTL.NS,0
2019-02-11,494.2340087890625,494.9847206353346,488.1475019639194,488.1475019639194,7036364,HDFCBANK.NS,0
2019-02-11,1594.5836181640625,1603.948947821079,1586.5876855319223,1600.1056412934372,797453,HINDUNILVR.NS,0
2019-02-11,337.73883056640625,342.225314961428,336.77400027832135,342.12882604376273,9419635,ICICIBANK.NS,0
2019-02-11,624.7650146484375,629.6383228854235,621.6526661073644,628.1231156980301,5500216,INFY.NS,0
2019-02-11,192.6101837158203,193.3747837243536,186.59762725826013,191.7065555105067,10335615,ITC.NS,0
2019-02-11,1109.138916015625,1120.2614482660827,1086.4489502246918,1120.2614482660827,2981408,LT.NS,0
2019-02-11,554.7351684570312,564.8052045928157,553.7392334148291,564.7609421263937,16457901,RELIANCE.NS,0
2019-02-11,254.2393341064453,259.17911119873634,253.78614456258356,259.17911119873634,15420017,SBIN.NS,0
2019-02-11,1698.435302734375,1723.1814525440188,1684.4591172891228,1693.5848245423085,1778730,TCS.NS,0
2019-02-12,273.1844177246094,277.00241880657785,271.78009138826224,273.5793659317481,2226134,BHARTIARTL.NS,1
2019-02-12,491.9356384277344,496.162734455308,490.803818620733,493.85285207888666,9772388,HDFCBANK.NS,1
2019-02-12,1585.4832763671875,1600.9449410851735,1580.623896027249,1599.1778936888322,990035,HINDUNILVR.NS,1
2019-02-12,332.19110107421875,339.6203070690697,331.1780409132335,336.72581581564015,14924394,ICICIBANK.NS,1
2019-02-12,614.6499633789062,622.7584476607594,606.9100079355055,622.7584476607594,7310690,INFY.NS,1
2019-02-12,191.35902404785156,194.973492923147,190.87245838815747,192.57542718233472,7624089,ITC.NS,1
2019-02-12,1109.4501953125,1125.5111734493064,1104.7343073614786,1107.3591812179031,1571390,LT.NS,1
2019-02-12,556.1295166015625,563.1895874760552,553.9605964529412,553.9605964529412,13998153,RELIANCE.NS,1
2019-02-12,249.6168212890625,255.78021632538972,248.93703690229464,254.3753119964376,15326106,SBIN.NS,1
2019-02-12,1686.678955078125,1701.8060395884786,1659.0553564683814,1701.8060395884786,2422903,TCS.NS,1
2019-02-14,264.01239013671875,271.9994726813337,260.23828596637844,271.20954666613966,8573394,BHARTIARTL.NS,3
2019-02-14,487.4313659667969,494.3148267014555,486.36885391379303,494.3148267014555,7441388,HDFCBANK.NS,3
2019-02-14,1577.134033203125,1589.0173838979752,1570.0216242350302,1586.8085746348422,1341658,HINDUNILVR.NS,3
2019-02-14,331.8533935546875,334.6513955366062,324.3276995460313,327.8975834347343,15172596,ICICIBANK.NS,3
2019-02-14,606.1318359375,616.7384365779108,603.8385290399266,615.1003530810239,4610535,INFY.NS,3
2019-02-14,193.166259765625,194.7649629269265,192.54066590065634,192.54066590065634,10378675,ITC.NS,3
2019-02-14,1092.32177734375,1096.014480287822,1068.742005695585,1084.6694958155915,6974738,LT.NS,3
2019-02-14,541.8765869140625,549.3129183280569,539.1322546519556,549.3129183280569,14496604,RELIANCE.NS,3
2019-02-14,242.0938262939453,243.22679999649984,238.96680781069858,242.90956182768642,26372671,SBIN.NS,3
2019-02-14,1680.92431640625,1705.9170489050837,1671.4287901557645,1693.6262650089873,1724085,TCS.NS,3
2019-02-15,267.34765625,268.62032311616537,260.9843516391037,264.1879521132657,6727458,BHARTIARTL.NS,4
2019-02-15,485.2254333496094,486.94634088637395,480.0397585382585,486.7730997029639,8416524,HDFCBANK.NS,4
2019-02-15,1566.31103515625,1581.50760136938,1543.9578398843526,1581.50760136938,1177218,HINDUNILVR.NS,4
2019-02-15,330.11669921875,335.51975508160274,328.6212239500905,331.9498709996414,20316848,ICICIBANK.NS,4
2019-02-15,607.6881103515625,611.4147407694353,600.0300390630551,607.9747550028037,5586389,INFY.NS,4
2019-02-15,194.69546508789065,195.28629641089418,191.42853356146338,193.9308650297696,38998388,ITC.NS,4
2019-02-15,1106.1134033203125,1115.7233132229107,1095.2578568831052,1106.9142472486062,3620228,LT.NS,4
2019-02-15,550.8399658203125,553.2523589386116,537.3616603663344,544.3332058212081,20994460,RELIANCE.NS,4
2019-02-15,238.33236694335938,243.6799974625524,236.83681947858793,243.6799974625524,23366091,SBIN.NS,4
2019-02-15,1668.67431640625,1687.0078236384952,1653.2594057370386,1684.5414379314216,1930065,TCS.NS,4
2019-02-18,265.5483703613281,269.5857930311439,263.3541182642559,269.3663707934296,4440252,BHARTIARTL.NS,0
2019-02-18,482.74224853515625,489.2330399416838,481.8414170530465,486.64598320938217,7138744,HDFCBANK.NS,0
2019-02-18,1547.8450927734375,1568.3427981638924,1532.9135216263871,1568.3427981638924,1513430,HINDUNILVR.NS,0
2019-02-18,326.83624267578125,330.93677118167665,325.6784346140509,330.1649187700445,10601490,ICICIBANK.NS,0
2019-02-18,606.9510498046875,612.3567568715654,602.8148978001893,608.0157943815352,5346825,INFY.NS,0
2019-02-18,190.9419403076172,196.3289024952492,190.38587162375234,193.79183086405266,42232590,ITC.NS,0
2019-02-18,1107.359375,1120.7509480526573,1103.3552631578948,1107.8042763157894,2186849,LT.NS,0
2019-02-18,540.061767578125,554.4032201240432,537.8043227333932,553.2965993868063,21106139,RELIANCE.NS,0
2019-02-18,235.61322021484375,240.64361234659327,234.5708622890932,239.64658996484826,14781744,SBIN.NS,0
2019-02-18,1619.8399658203125,1678.745397727782,1613.5506621719824,1675.1691585104936,2942184,TCS.NS,0
2019-02-19,266.5577697753906,275.15925391288414,264.6707322247683,266.73332543122467,7593977,BHARTIARTL.NS,1
2019-02-19,481.39105224609375,486.9578349869339,480.03974848634573,482.6961132430093,5268636,HDFCBANK.NS,1
2019-02-19,1535.52001953125,1554.6483298078017,1528.893591573,1546.1665235916453,1598381,HINDUNILVR.NS,1
2019-02-19,331.1780090332031,338.0765399676161,327.17396907358875,327.17396907358875,14384763,ICICIBANK.NS,1
2019-02-19,593.23193359375,606.5413621224909,590.7748083269055,605.3537415787811,9401334,INFY.NS,1
2019-02-19,191.77606201171875,194.06988410769944,190.45539325153587,190.45539325153587,35777932,ITC.NS,1
2019-02-19,1119.638671875,1130.04931900426,1107.8042536695307,1107.8042536695307,2389086,LT.NS,1
2019-02-19,538.2911987304688,548.7374358904422,536.1222788619095,539.1321855608721,13658461,RELIANCE.NS,1
2019-02-19,238.2870330810547,242.45638200463463,235.93044215377105,236.47427508475835,19064306,SBIN.NS,1
2019-02-19,1565.9906005859375,1620.415473872865,1555.4673143416849,1619.5933452712045,4408554,TCS.NS,1
2019-02-20,271.2095642089844,272.83331268077495,267.65488205071625,268.18148952159856,6216966,BHARTIARTL.NS,2
2019-02-20,487.0041198730469,487.6162162037759,480.89443528937466,482.4189803607702,4892500,HDFCBANK.NS,2
2019-02-20,1531.5882568359375,1542.5880832063006,1521.4277347975103,1539.7166313258756,1430235,HINDUNILVR.NS,2
2019-02-20,333.0594482421875,335.37503519085857,330.3096758587656,332.86647039467925,9474758,ICICIBANK.NS,2
2019-02-20,606.6643676757812,608.5481541171042,594.6653834026342,595.4434832343671,5210675,INFY.NS,2
2019-02-20,191.7413330078125,192.88823310998035,190.62917343541915,192.71446437259223,6208106,ITC.NS,2
2019-02-20,1135.8775634765625,1141.3053376654257,1124.888414365365,1125.600299899651,2433082,LT.NS,2
2019-02-20,546.369384765625,548.8703030309389,539.5748886041301,541.7217070999318,13776558,RELIANCE.NS,2
2019-02-20,242.63766479492188,243.18147005628757,239.5559541245621,239.73724098534495,15514595,SBIN.NS,2
2019-02-20,1574.1707763671875,1589.8323667333464,1546.6706141498355,1574.3763085223472,4645778,TCS.NS,2
2019-02-21,271.9995422363281,272.9650241239723,265.94342142456566,268.4887557465935,5805770,BHARTIARTL.NS,3
2019-02-21,488.7480163574219,489.6835300500612,483.59702348951686,485.46799448117974,5261544,HDFCBANK.NS,3
2019-02-21,1550.31884765625,1553.2345187332403,1534.1062108542078,1534.680522775676,1225418,HINDUNILVR.NS,3
2019-02-21,338.9448547363281,342.46650870102326,334.0724737560112,334.60311861531136,18631331,ICICIBANK.NS,3
2019-02-21,600.726318359375,604.452949172599,595.5253720680821,604.452949172599,7202786,INFY.NS,3
2019-02-21,191.1852264404297,192.3668890044293,190.5944171879333,191.7760577224295,7264425,ITC.NS,3
2019-02-21,1142.5955810546875,1149.1801425031422,1125.689330410042,1140.7270171808193,2392129,LT.NS,3
